gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
PRKAA1,5562,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SETD2,29072,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAP2K7,5609,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PFN1,5216,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SELE,6401,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SDC1,6382,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NOX5,79400,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCL27,10850,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATP23,91419,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HMGN5,79366,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR451A,574411,Unknown,Unknown,ionizing radiation,Unknown,Unknown
APAF1,317,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACAT1,38,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ERCC3,2071,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ETV6,2120,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FANCL,55120,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TARDBP,23435,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LBR,3930,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRRAP,8295,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TDP2,51567,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TAOK3,51347,Unknown,Unknown,ionizing radiation,Unknown,Unknown
YBX3,8531,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLX4,84464,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ERCC6L2,375748,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TFRC,7037,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TGM2,7052,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IL2,3558,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PXN,5829,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NDUFS1,4719,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NDUFS2,4720,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IGF2BP3,10643,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KHDRBS1,10657,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CBX1,10951,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RECQL5,9400,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CIRBP,1153,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FKBPL,63943,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GSTT1,2952,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MT-ND4,4538,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR375,494324,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR379,494328,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLF1,84250,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SP1,6667,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ABCG5,64240,Unknown,Unknown,ionizing radiation,Unknown,Unknown
VCAM1,7412,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BRSK1,84446,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IKBKB,3551,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RRM2B,50484,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HINT1,3094,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PIAS1,8554,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TEK,7010,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FST,10468,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GNAQ,2776,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KEAP1,9817,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCR3,1232,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRKAB1,5564,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AKR1C3,8644,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CXCR3,2833,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DROSHA,29102,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CXCL10,3627,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BCAR1,9564,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IL12B,3593,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ARHGAP5,394,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LSP1,4046,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PARD3,56288,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC4A7,9497,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIT1,54802,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KTN1,3895,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BMF,90427,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MYCL,4610,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TOB1,10140,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NFKBIE,4794,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NPAS2,4862,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLEC16A,23274,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GSDME,1687,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPFIBP2,8495,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STXBP4,252983,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRDM10,56980,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SERTAD1,29950,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIAP1,51499,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EID3,493861,Unknown,Unknown,ionizing radiation,Unknown,Unknown
THEMIS,387357,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZDHHC16,84287,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR744,100126313,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PIK3CD,5293,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MYLK,4638,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TSC2,7249,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACTB,60,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALB,213,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPARGC1A,10891,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IRF3,3661,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HTT,3064,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SIRT6,51548,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ULK1,8408,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MSH3,4437,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FANCM,57697,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PARG,8505,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FANCE,2178,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H3-4,8290,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RPA3,6119,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H1-0,3005,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EME1,146956,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H4C6,8361,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ENTREP2,23359,Unknown,Unknown,ionizing radiation,Unknown,Unknown
VCP,7415,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRDX2,7001,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IKBKE,9641,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SOX2,6657,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SUMO2,6613,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CACNA1A,773,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATXN7,6314,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SMPD1,6609,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FZD4,8322,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NEU1,4758,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ALOX5AP,241,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDK19,23097,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRSS23,11098,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDK5,1020,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCNE1,898,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GTF2H1,2965,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC2A1,6513,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TPD52,7163,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAB5C,5878,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR301B,100126318,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPP4R2,151987,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SNAI1,6615,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SYK,6850,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HCFC1,3054,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SSRP1,6749,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLTM,79811,Unknown,Unknown,ionizing radiation,Unknown,Unknown
INTS3,65123,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POLR2I,5438,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADAM10,102,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TGFBR1,7046,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRDX1,5052,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EPHA3,2042,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CSNK2A2,1459,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AGO2,27161,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NFATC4,4776,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RPS27A,6233,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TOP3A,7156,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CKAP4,10970,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPP6R1,22870,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR193A,406968,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H2AC8,3012,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H2AC7,3013,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD19,930,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD4,920,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DRD2,1813,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HDAC3,8841,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PIK3C3,5289,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PNP,4860,Unknown,Unknown,ionizing radiation,Unknown,Unknown
APC,324,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD28,940,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FKBP1A,2280,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD8A,925,Unknown,Unknown,ionizing radiation,Unknown,Unknown
INS,3630,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MECP2,4204,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ISG15,9636,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KCNC3,3748,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HMBS,3145,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRSS1,5644,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PXDN,7837,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POT1,25913,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD69,969,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DEK,7913,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MLST8,64223,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TCL1A,8115,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BIK,638,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STN1,79991,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ZMPSTE24,10269,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SPO11,23626,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CCNL2,81669,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNAH8,1769,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FAAP24,91442,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H3C12,8356,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TCHP,84260,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRAT1,50852,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC35F2,54733,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TCL1B,9623,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H3C13,653604,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MTCP1,4515,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PXDNL,137902,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H3-5,440093,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRSS58,136541,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H4C7,8369,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H3-7,440686,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR128-1,406915,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RNR3,6054,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ITGAV,3685,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BIRC3,330,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TJP1,7082,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BCL2L11,10018,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDC20,991,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TNFRSF10D,8793,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UBR5,51366,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATXN10,25814,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RNF20,56254,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NABP1,64859,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDK6,1021,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GLI1,2735,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD47,961,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RICTOR,253260,Unknown,Unknown,ionizing radiation,Unknown,Unknown
JUNB,3726,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HMGN1,3150,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SUPT16H,11198,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H1-5,3009,Unknown,Unknown,ionizing radiation,Unknown,Unknown
H2BC4,8347,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR93,407050,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIRLET7B,406884,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KANSL1L,151050,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GLS2,27165,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR501,574503,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MT-TL1,4567,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MCM6,4175,Unknown,Unknown,ionizing radiation,Unknown,Unknown
USP11,8237,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADAM17,6868,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNM2,1785,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RIPK1,8737,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ENO1,2023,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HSPD1,3329,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MC1R,4157,Unknown,Unknown,ionizing radiation,Unknown,Unknown
XPO1,7514,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CDKN1C,1028,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FADD,8772,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PGRMC1,10857,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRDX3,10935,Unknown,Unknown,ionizing radiation,Unknown,Unknown
JUND,3727,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAP1LC3B,81631,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MTF1,4520,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MVP,9961,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRRX1,5396,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SF3B2,10992,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIP13,9319,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RRAD,6236,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TAX1BP3,30851,Unknown,Unknown,ionizing radiation,Unknown,Unknown
AVEN,57099,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CENPX,201254,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR148B,442892,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR211,406993,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR124-1,406907,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR146B,574447,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RNY3,6085,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ADAD2-AS1,#N/A,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLOCK,9575,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EYA1,2138,Unknown,Unknown,ionizing radiation,Unknown,Unknown
USP28,57646,Unknown,Unknown,ionizing radiation,Unknown,Unknown
INO80,54617,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PAK1,5058,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RAC2,5880,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CSNK1A1,1452,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PLG,5340,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAPK7,5598,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRKCZ,5590,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRNP,5621,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TPO,7173,Unknown,Unknown,ionizing radiation,Unknown,Unknown
GJB1,2705,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IKBKG,8517,Unknown,Unknown,ionizing radiation,Unknown,Unknown
YY1,7528,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PAK2,5062,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRDX6,9588,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRMT5,10419,Unknown,Unknown,ionizing radiation,Unknown,Unknown
VDAC1,7416,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CANX,821,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC1A5,6510,Unknown,Unknown,ionizing radiation,Unknown,Unknown
THBD,7056,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAP2,4133,Unknown,Unknown,ionizing radiation,Unknown,Unknown
S100A4,6275,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TOP2B,7155,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FABP4,2167,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LGALS1,3956,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MT2A,4502,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLIC1,1192,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IFNB1,3456,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SDHC,6391,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UBA2,10054,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATG12,9140,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD151,977,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HLA-E,3133,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KRT6A,3853,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SSB,6741,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TOP1MT,116447,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRIB3,57761,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLMP,79827,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HLA-F,3134,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MT3,4504,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BHLHE40,8553,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NINJ1,4814,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NEIL2,252969,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DTL,51514,Unknown,Unknown,ionizing radiation,Unknown,Unknown
EIF3L,51386,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MT-ATP6,4508,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR200C,406985,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR9-1,407046,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR15B,406949,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR381,494330,Unknown,Unknown,ionizing radiation,Unknown,Unknown
OIP5-AS1,729082,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR124-2,406908,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR124-3,406909,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR511,574445,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR525,574470,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR498,574460,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR663A,724033,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR638,693223,Unknown,Unknown,ionizing radiation,Unknown,Unknown
LINP1,108570035,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MT-TP,4571,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR5090,100847073,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TET1,80312,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DNMT3A,1788,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ERBB4,2066,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACVRL1,94,Unknown,Unknown,ionizing radiation,Unknown,Unknown
IL2RA,3559,Unknown,Unknown,ionizing radiation,Unknown,Unknown
B2M,567,Unknown,Unknown,ionizing radiation,Unknown,Unknown
NOS3,4846,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PGK1,5230,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PRKCQ,5588,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIF,4282,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TLR7,51284,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TTR,7276,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CBLB,868,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SLC5A1,6523,Unknown,Unknown,ionizing radiation,Unknown,Unknown
APRT,353,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ELK1,2002,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KRT14,3861,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PEBP1,5037,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ACTC1,70,Unknown,Unknown,ionizing radiation,Unknown,Unknown
BSG,682,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CD63,967,Unknown,Unknown,ionizing radiation,Unknown,Unknown
FGF4,2249,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HLA-G,3135,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SERPINF1,5176,Unknown,Unknown,ionizing radiation,Unknown,Unknown
STEAP3,55240,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TUBA1B,10376,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KIF2C,11004,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PABPC1,26986,Unknown,Unknown,ionizing radiation,Unknown,Unknown
RACK1,10399,Unknown,Unknown,ionizing radiation,Unknown,Unknown
POU2F2,5452,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TNFSF4,7292,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CLDN6,9074,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DHX30,22907,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPA1,5464,Unknown,Unknown,ionizing radiation,Unknown,Unknown
TRAPPC9,83696,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRYGS,1427,Unknown,Unknown,ionizing radiation,Unknown,Unknown
SND1,27044,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MAFF,23764,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PEG3,5178,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PTCD3,55037,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PDS5A,23244,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MRPS30,10884,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CGB5,93659,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CRYBG3,131544,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HOTAIR,100124700,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR10B,406903,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR199A1,406976,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR19A,406979,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR92B,693235,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR1307,100302174,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR144,406936,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR218-1,407000,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR98,407054,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR190B,100126346,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR575,693160,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR4324,100422979,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR5194,100847051,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR5582,100847020,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MIR4267,100422994,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPARG,5468,Unknown,Unknown,ionizing radiation,Unknown,Unknown
ATXN3,4287,Unknown,Unknown,ionizing radiation,Unknown,Unknown
UBE2D2,7322,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HNRNPC,3183,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DDX21,9188,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CUL1,8454,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CFL1,1072,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DARS1,1615,Unknown,Unknown,ionizing radiation,Unknown,Unknown
CSDE1,7812,Unknown,Unknown,ionizing radiation,Unknown,Unknown
KDM2A,22992,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DDX39A,10212,Unknown,Unknown,ionizing radiation,Unknown,Unknown
DDX5,1655,Unknown,Unknown,ionizing radiation,Unknown,Unknown
MCM3,4172,Unknown,Unknown,ionizing radiation,Unknown,Unknown
PPP1R12A,4659,Unknown,Unknown,ionizing radiation,Unknown,Unknown
INSR,3643,Unknown,Unknown,ionizing radiation,Unknown,Unknown
HMGB1,3146,Unknown,Unknown,ionizing radiation,Unknown,Unknown
